parameter,models,value,Region,metadata,description
lifetime_factor,'all',1.0,,,
lifetime_factor_blending_year,'all',2040,,,
saturation_level_factor,['steel'],1.0,,,
waste_his_imports_target_year,['plastics'],2030,,,
waste_his_exports_target_year,['plastics'],2030,,,
waste_his_imports_target_value,['plastics'],0,,,
waste_his_exports_target_value,['plastics'],0,,,
collection_rate_target_year,['plastics'],2100,,,
collection_rate_target_value,['plastics'],1.0,,,
incineration_rate_target_year,['plastics'],2100,,,
incineration_rate_target_value,['plastics'],0.3,,,
mechanical_recycling_rate_target_year,['plastics'],2050,,,
mechanical_recycling_rate_target_value,['plastics'],0.4,,,
chemical_recycling_rate_target_year,['plastics'],2050,,,
chemical_recycling_rate_target_value,['plastics'],0.1,,,
bio_production_rate_target_year,['plastics'],2050,,,
bio_production_rate_target_value,['plastics'],0.2,,,
daccu_production_rate_target_year,['plastics'],2050,,,
daccu_production_rate_target_value,['plastics'],0.01,,,
