parameter,models,value,extra:year,extra:type,index:Region,description
saturation_level,steel,10,,,,
saturation_level,plastics,3,,,,
saturation_level,cement,24,,,,
stock_factor,all,1.0,2100,factor,,
lifetime_mean,all,1.0,2040,factor,,
lifetime_std,all,1.0,2040,factor,,
waste_his_imports,plastics,0,2030,target,,
waste_his_exports,plastics,0,2030,target,,
collection_rate,plastics,1.0,2100,target,,
landfill_rate,plastics,0.0,2050,target,,
mechanical_recycling_rate,plastics,0.4,2050,target,,
chemical_recycling_rate,plastics,0.1,2050,target,,
bio_production_rate,plastics,0.2,2050,target,,
daccu_production_rate,plastics,0.01,2050,target,,
