Time,Region,value
1950,World,3715.1226155160557
1951,World,3785.4219786542867
1952,World,3857.2265267181297
1953,World,3930.578379476026
1954,World,4005.5212238887702
1955,World,4082.100381262607
1956,World,4160.36287736767
1957,World,4240.357515651656
1958,World,4322.134953684198
1959,World,4405.747782973239
1960,World,4491.250612300781
1961,World,4596.537413925112
1962,World,4715.904676159443
1963,World,4809.740555347182
1964,World,4982.19708605727
1965,World,5107.870856972211
1966,World,5229.840702917744
1967,World,5316.537451652975
1968,World,5466.773799227638
1969,World,5614.672024978148
1970,World,5750.893124460908
1971,World,5875.042501391481
1972,World,6036.946813270816
1973,World,6253.751910002738
1974,World,6331.731980700462
1975,World,6333.438839193218
1976,World,6521.1197837135305
1977,World,6651.935394410169
1978,World,6777.336444281299
1979,World,6901.496657667015
1980,World,6937.108332341863
1981,World,6948.600070530547
1982,World,6900.620224780473
1983,World,6948.733062252145
1984,World,7080.909636690033
1985,World,7181.577308824383
1986,World,7275.247857447546
1987,World,7393.647002917919
1988,World,7555.837688295031
1989,World,7679.20189465918
1990,World,7770.0587244465505
1991,World,7751.145742887084
1992,World,7782.425424509226
1993,World,7805.595605976801
1994,World,7926.305029898838
1995,World,8070.196615755486
1996,World,8264.06120757983
1997,World,8469.764849806592
1998,World,8562.45839529728
1999,World,8741.569359388988
2000,World,9037.823586110693
2001,World,9136.114980010705
2002,World,9264.295431927001
2003,World,9489.33637405627
2004,World,9864.095044342312
2005,World,10198.822157615941
2006,World,10595.608047018635
2007,World,11015.9745959616
2008,World,11198.842989055327
2009,World,11036.93662251146
2010,World,11466.55199805469
2011,World,11773.119643243554
2012,World,12022.72575831996
2013,World,12273.756369073397
2014,World,12552.638964566187
2015,World,12828.341658230738
2016,World,13105.504107030414
2017,World,13441.641746908408
2018,World,13778.592362372843
2019,World,14025.012175840899
2020,World,13484.670857285857
2021,World,14158.879533244535
2022,World,14714.198386834778
2023,World,15098.017754085262
2024,World,15455.431102515675
2025,World,15815.036750077164
2026,World,16182.684273594596
2027,World,16572.38833004689
2028,World,16955.996012188116
2029,World,17333.649263623993
2030,World,17705.485655345732
2031,World,18070.55372216416
2032,World,18430.698698207067
2033,World,18786.01950131119
2034,World,19136.61241691798
2035,World,19482.571185061293
2036,World,19854.25851252165
2037,World,20221.69217790465
2038,World,20584.944785366628
2039,World,20944.087296074427
2040,World,21299.189074418824
2041,World,21684.36036160213
2042,World,22065.859852314086
2043,World,22443.73980174467
2044,World,22818.05147820541
2045,World,23188.845186317405
2046,World,23584.387068574048
2047,World,23976.919113227235
2048,World,24366.47554466453
2049,World,24753.090070352628
2050,World,25136.795890560057
2051,World,25559.91956587575
2052,World,25980.637310259062
2053,World,26398.96958614304
2054,World,26814.936624572834
2055,World,27228.55842846712
2056,World,27703.932332114862
2057,World,28177.453638269995
2058,World,28649.133155611955
2059,World,29118.981608901395
2060,World,29587.00963979307
2061,World,30120.047584779455
2062,World,30651.844172008732
2063,World,31182.40373281466
2064,World,31711.730578403967
2065,World,32239.82899997308
2066,World,32826.526726642485
2067,World,33412.65811709031
2068,World,33998.223990943
2069,World,34583.22516624619
2070,World,35167.662459468476
2071,World,35807.26758862585
2072,World,36447.03622991133
2073,World,37086.96844603461
2074,World,37727.064299737474
2075,World,38367.32385379378
2076,World,39072.22227299752
2077,World,39778.105605198725
2078,World,40484.97591608183
2079,World,41192.83527711183
2080,World,41901.685765554554
2081,World,42671.60188877866
2082,World,43443.404437270496
2083,World,44217.10035262753
2084,World,44992.69661054702
2085,World,45770.200221035586
2086,World,46611.89454150325
2087,World,47456.439694149994
2088,World,48303.850187267264
2089,World,49154.14062776018
2090,World,50007.32572198673
2091,World,50922.854029935894
2092,World,51842.23370184428
2093,World,52765.48909130485
2094,World,53692.64475767334
2095,World,54623.72546824582
2096,World,55609.29404728737
2097,World,56599.783576893
2098,World,57595.23100481197
2099,World,58595.67364960568
2100,World,59601.149205311325
