Good,Material,value
Building and Construction,Other,0.026595744680851064
Building and Construction,PE,0.23404255319148934
Building and Construction,PET,0.0
Building and Construction,PP,0.06382978723404255
Building and Construction,PS,0.11702127659574467
Building and Construction,PUR,0.1276595744680851
Building and Construction,PVC,0.4308510638297873
Other Uses,Other,0.07335907335907339
Other Uses,PE,0.28957528957528966
Other Uses,PET,0.0
Other Uses,PP,0.31660231660231675
Other Uses,PS,0.09652509652509618
Other Uses,PUR,0.14671814671814679
Other Uses,PVC,0.07722007722007725
Packaging,Other,0.002242152466367713
Packaging,PE,0.5112107623318386
Packaging,PET,0.22645739910313903
Packaging,PP,0.18385650224215247
Packaging,PS,0.051569506726457395
Packaging,PUR,0.004484304932735426
Packaging,PVC,0.020179372197309416
Transportation,Other,0.20588235294117646
Transportation,PE,0.13235294117647056
Transportation,PET,0.0
Transportation,PP,0.38235294117647056
Transportation,PS,0.0
Transportation,PUR,0.23529411764705882
Transportation,PVC,0.044117647058823525
