Time,Region,value
1990,LAM,2.506522
1990,OAS,5.02700300000001
1990,SSA,0.394735
1990,EUR,16.878904
1990,NEU,1.057362
1990,MEA,1.314598
1990,REF,0.588735
1990,CAZ,2.062882
1990,CHA,10.41997
1990,IND,0.506003
1990,JPN,1.9403
1990,USA,3.605042
1991,LAM,2.506522
1991,OAS,5.02700300000001
1991,SSA,0.394735
1991,EUR,16.878904
1991,NEU,1.057362
1991,MEA,1.314598
1991,REF,0.588735
1991,CAZ,2.062882
1991,CHA,10.41997
1991,IND,0.506003
1991,JPN,1.9403
1991,USA,3.605042
1992,LAM,2.506522
1992,OAS,5.02700300000001
1992,SSA,0.394735
1992,EUR,16.878904
1992,NEU,1.057362
1992,MEA,1.314598
1992,REF,0.588735
1992,CAZ,2.062882
1992,CHA,10.41997
1992,IND,0.506003
1992,JPN,1.9403
1992,USA,3.605042
1993,LAM,2.506522
1993,OAS,5.02700300000001
1993,SSA,0.394735
1993,EUR,16.878904
1993,NEU,1.057362
1993,MEA,1.314598
1993,REF,0.588735
1993,CAZ,2.062882
1993,CHA,10.41997
1993,IND,0.506003
1993,JPN,1.9403
1993,USA,3.605042
1994,LAM,2.506522
1994,OAS,5.02700300000001
1994,SSA,0.394735
1994,EUR,16.878904
1994,NEU,1.057362
1994,MEA,1.314598
1994,REF,0.588735
1994,CAZ,2.062882
1994,CHA,10.41997
1994,IND,0.506003
1994,JPN,1.9403
1994,USA,3.605042
1995,LAM,2.506522
1995,OAS,5.02700300000001
1995,SSA,0.394735
1995,EUR,16.878904
1995,NEU,1.057362
1995,MEA,1.314598
1995,REF,0.588735
1995,CAZ,2.062882
1995,CHA,10.41997
1995,IND,0.506003
1995,JPN,1.9403
1995,USA,3.605042
1996,LAM,2.506522
1996,OAS,5.02700300000001
1996,SSA,0.394735
1996,EUR,16.878904
1996,NEU,1.057362
1996,MEA,1.314598
1996,REF,0.588735
1996,CAZ,2.062882
1996,CHA,10.41997
1996,IND,0.506003
1996,JPN,1.9403
1996,USA,3.605042
1997,LAM,2.506522
1997,OAS,5.02700300000001
1997,SSA,0.394735
1997,EUR,16.878904
1997,NEU,1.057362
1997,MEA,1.314598
1997,REF,0.588735
1997,CAZ,2.062882
1997,CHA,10.41997
1997,IND,0.506003
1997,JPN,1.9403
1997,USA,3.605042
1998,LAM,2.506522
1998,OAS,5.02700300000001
1998,SSA,0.394735
1998,EUR,16.878904
1998,NEU,1.057362
1998,MEA,1.314598
1998,REF,0.588735
1998,CAZ,2.062882
1998,CHA,10.41997
1998,IND,0.506003
1998,JPN,1.9403
1998,USA,3.605042
1999,LAM,2.506522
1999,OAS,5.02700300000001
1999,SSA,0.394735
1999,EUR,16.878904
1999,NEU,1.057362
1999,MEA,1.314598
1999,REF,0.588735
1999,CAZ,2.062882
1999,CHA,10.41997
1999,IND,0.506003
1999,JPN,1.9403
1999,USA,3.605042
2000,LAM,2.506522
2000,OAS,5.02700300000001
2000,SSA,0.394735
2000,EUR,16.878904
2000,NEU,1.057362
2000,MEA,1.314598
2000,REF,0.588735
2000,CAZ,2.062882
2000,CHA,10.41997
2000,IND,0.506003
2000,JPN,1.9403
2000,USA,3.605042
2001,LAM,2.506522
2001,OAS,5.02700300000001
2001,SSA,0.394735
2001,EUR,16.878904
2001,NEU,1.057362
2001,MEA,1.314598
2001,REF,0.588735
2001,CAZ,2.062882
