Time,value
1990,26.05674896
1991,26.99194882
1992,28.66407867
1993,29.81352594
1994,32.67557829
1995,33.87948458
1996,36.27454324
1997,38.9081132
1998,40.61968067
1999,43.61412132
2000,45.83291084
2001,46.87639055
2002,49.79948338
2003,51.78878433
2004,54.99737613
2005,56.467432
2006,48.648522
2007,52.199277
2008,52.467381
2009,57.603785
2010,79.348262
2011,54.381481
2012,68.813789
2013,96.313646
2014,58.08972
2015,66.765003
2016,58.250598
2017,60.955442
2018,64.973469
2019,68.050462
2020,64.213328
2021,79.932357
2022,80.268568
2023,59.9724716
2024,61.50774366
2025,63.22544219
2026,66.56123927
2027,68.24675996
2028,70.23199906
2029,72.24197922
2030,74.29721809
2031,77.53059012
2032,79.75022809
2033,81.96831741
2034,84.17086214
2035,86.36738814
2036,89.84936881
2037,92.03874151
2038,94.19813807
2039,96.33267122
2040,98.45695324
2041,102.6469889
2042,104.8634386
2043,107.0926047
2044,109.3526034
2045,111.6584792
2046,115.2636965
2047,117.6280325
2048,120.0218994
2049,122.450684
2050,124.9233305
2051,130.3150292
2052,132.9058404
2053,135.5370302
2054,138.2199908
2055,140.9670075
2056,147.7527198
2057,150.6687945
2058,153.6454767
2059,156.6902446
2060,159.8127983
2061,166.4996668
2062,169.7580923
2063,173.0772746
2064,176.4599213
2065,179.9148448
2066,185.7708267
2067,189.3254326
2068,192.9432916
2069,196.6277231
2070,200.3897088
2071,204.5336576
2072,208.2780275
2073,212.0993669
2074,215.9998325
2075,219.9866391
2076,224.8610181
2077,228.8392192
2078,232.9028355
2079,237.0553387
2080,241.3031333
2081,250.7426626
2082,255.2914888
2083,259.9418545
2084,264.6977774
2085,269.564304
2086,280.2048706
2087,285.3895186
2088,290.6777067
2089,296.0674988
2090,301.5572691
2091,312.7417566
2092,318.4805877
2093,324.2943158
2094,330.1772008
2095,336.124808
2096,347.3691833
2097,353.4619089
2098,359.592607
2099,365.7562698
2100,371.9503431
