Time,Region,value
1990,LAM,1.104084
1990,OAS,5.977094
1990,SSA,0.141399
1990,EUR,12.983233
1990,NEU,1.088107
1990,MEA,1.793163
1990,REF,0.342763
1990,CAZ,1.065826
1990,CHA,3.911926
1990,IND,0.614282
1990,JPN,1.146057
1990,USA,2.860924
1991,LAM,1.104084
1991,OAS,5.977094
1991,SSA,0.141399
1991,EUR,12.983233
1991,NEU,1.088107
1991,MEA,1.793163
1991,REF,0.342763
1991,CAZ,1.065826
1991,CHA,3.911926
1991,IND,0.614282
1991,JPN,1.146057
1991,USA,2.860924
1992,LAM,1.104084
1992,OAS,5.977094
1992,SSA,0.141399
1992,EUR,12.983233
1992,NEU,1.088107
1992,MEA,1.793163
1992,REF,0.342763
1992,CAZ,1.065826
1992,CHA,3.911926
1992,IND,0.614282
1992,JPN,1.146057
1992,USA,2.860924
1993,LAM,1.104084
1993,OAS,5.977094
1993,SSA,0.141399
1993,EUR,12.983233
1993,NEU,1.088107
1993,MEA,1.793163
1993,REF,0.342763
1993,CAZ,1.065826
1993,CHA,3.911926
1993,IND,0.614282
1993,JPN,1.146057
1993,USA,2.860924
1994,LAM,1.104084
1994,OAS,5.977094
1994,SSA,0.141399
1994,EUR,12.983233
1994,NEU,1.088107
1994,MEA,1.793163
1994,REF,0.342763
1994,CAZ,1.065826
1994,CHA,3.911926
1994,IND,0.614282
1994,JPN,1.146057
1994,USA,2.860924
1995,LAM,1.104084
1995,OAS,5.977094
1995,SSA,0.141399
1995,EUR,12.983233
1995,NEU,1.088107
1995,MEA,1.793163
1995,REF,0.342763
1995,CAZ,1.065826
1995,CHA,3.911926
1995,IND,0.614282
1995,JPN,1.146057
1995,USA,2.860924
1996,LAM,1.104084
1996,OAS,5.977094
1996,SSA,0.141399
1996,EUR,12.983233
1996,NEU,1.088107
1996,MEA,1.793163
1996,REF,0.342763
1996,CAZ,1.065826
1996,CHA,3.911926
1996,IND,0.614282
1996,JPN,1.146057
1996,USA,2.860924
1997,LAM,1.104084
1997,OAS,5.977094
1997,SSA,0.141399
1997,EUR,12.983233
1997,NEU,1.088107
1997,MEA,1.793163
1997,REF,0.342763
1997,CAZ,1.065826
1997,CHA,3.911926
1997,IND,0.614282
1997,JPN,1.146057
1997,USA,2.860924
1998,LAM,1.104084
1998,OAS,5.977094
1998,SSA,0.141399
1998,EUR,12.983233
1998,NEU,1.088107
1998,MEA,1.793163
1998,REF,0.342763
1998,CAZ,1.065826
1998,CHA,3.911926
1998,IND,0.614282
1998,JPN,1.146057
1998,USA,2.860924
1999,LAM,1.104084
1999,OAS,5.977094
1999,SSA,0.141399
1999,EUR,12.983233
1999,NEU,1.088107
1999,MEA,1.793163
1999,REF,0.342763
1999,CAZ,1.065826
1999,CHA,3.911926
1999,IND,0.614282
1999,JPN,1.146057
1999,USA,2.860924
2000,LAM,1.104084
2000,OAS,5.977094
2000,SSA,0.141399
2000,EUR,12.983233
2000,NEU,1.088107
2000,MEA,1.793163
2000,REF,0.342763
2000,CAZ,1.065826
2000,CHA,3.911926
2000,IND,0.614282
2000,JPN,1.146057
2000,USA,2.860924
2001,LAM,1.104084
2001,OAS,5.977094
2001,SSA,0.141399
2001,EUR,12.983233
2001,NEU,1.088107
2001,MEA,1.793163
2001,REF,0.342763
2001,CAZ,1.065826
2001,CHA,3.911926
2001,IND,0.614282
2001,JPN,1.146057
2001,USA,2.860924
2002,LAM,1.104084
2002,OAS,5.977094
2002,SSA,0.141399
2002,EUR,12.983233
2002,NEU,1.088107
2002,MEA,1.793163
2002,REF,0.342763
2002,CAZ,1.065826
2002,CHA,3.911926
2002,IND,0.614282
2002,JPN,1.146057
2002,USA,2.860924
2003,LAM,1.104084
2003,OAS,5.977094
2003,SSA,0.141399
2003,EUR,12.983233
2003,NEU,1.088107
2003,MEA,1.793163
2003,REF,0.342763
2003,CAZ,1.065826
2003,CHA,3.911926
2003,IND,0.614282
2003,JPN,1.146057
2003,USA,2.860924
2004,LAM,1.104084
2004,OAS,5.977094
2004,SSA,0.141399
2004,EUR,12.983233
2004,NEU,1.088107
2004,MEA,1.793163
2004,REF,0.342763
2004,CAZ,1.065826
2004,CHA,3.911926
2004,IND,0.614282
2004,JPN,1.146057
2004,USA,2.860924
2005,LAM,1.104084
2005,OAS,5.977094
2005,SSA,0.141399
2005,EUR,12.983233
2005,NEU,1.088107
2005,MEA,1.793163
2005,REF,0.342763
2005,CAZ,1.065826
2005,CHA,3.911926
2005,IND,0.614282
2005,JPN,1.146057
2005,USA,2.860924
2006,LAM,1.118403
2006,OAS,5.928068
2006,SSA,0.114902
2006,EUR,15.604011
2006,NEU,1.231446
