Time,Region,value
1990,LAM,6.533135
1990,OAS,3.230831
1990,SSA,0.700891
1990,EUR,12.203269
1990,NEU,1.32333
1990,MEA,2.272453
1990,REF,1.343141
1990,CAZ,1.497912
1990,CHA,3.336844
1990,IND,0.383579
1990,JPN,0.670475
1990,USA,3.133052
1991,LAM,6.533135
1991,OAS,3.230831
1991,SSA,0.700891
1991,EUR,12.203269
1991,NEU,1.32333
1991,MEA,2.272453
1991,REF,1.343141
1991,CAZ,1.497912
1991,CHA,3.336844
1991,IND,0.383579
1991,JPN,0.670475
1991,USA,3.133052
1992,LAM,6.533135
1992,OAS,3.230831
1992,SSA,0.700891
1992,EUR,12.203269
1992,NEU,1.32333
1992,MEA,2.272453
1992,REF,1.343141
1992,CAZ,1.497912
1992,CHA,3.336844
1992,IND,0.383579
1992,JPN,0.670475
1992,USA,3.133052
1993,LAM,6.533135
1993,OAS,3.230831
1993,SSA,0.700891
1993,EUR,12.203269
1993,NEU,1.32333
1993,MEA,2.272453
1993,REF,1.343141
1993,CAZ,1.497912
1993,CHA,3.336844
1993,IND,0.383579
1993,JPN,0.670475
1993,USA,3.133052
1994,LAM,6.533135
1994,OAS,3.230831
1994,SSA,0.700891
1994,EUR,12.203269
1994,NEU,1.32333
1994,MEA,2.272453
1994,REF,1.343141
1994,CAZ,1.497912
1994,CHA,3.336844
1994,IND,0.383579
1994,JPN,0.670475
1994,USA,3.133052
1995,LAM,6.533135
1995,OAS,3.230831
1995,SSA,0.700891
1995,EUR,12.203269
1995,NEU,1.32333
1995,MEA,2.272453
1995,REF,1.343141
1995,CAZ,1.497912
1995,CHA,3.336844
1995,IND,0.383579
1995,JPN,0.670475
1995,USA,3.133052
1996,LAM,6.533135
1996,OAS,3.230831
1996,SSA,0.700891
1996,EUR,12.203269
1996,NEU,1.32333
1996,MEA,2.272453
1996,REF,1.343141
1996,CAZ,1.497912
1996,CHA,3.336844
1996,IND,0.383579
1996,JPN,0.670475
1996,USA,3.133052
1997,LAM,6.533135
1997,OAS,3.230831
1997,SSA,0.700891
1997,EUR,12.203269
1997,NEU,1.32333
1997,MEA,2.272453
1997,REF,1.343141
1997,CAZ,1.497912
1997,CHA,3.336844
1997,IND,0.383579
1997,JPN,0.670475
1997,USA,3.133052
1998,LAM,6.533135
1998,OAS,3.230831
1998,SSA,0.700891
1998,EUR,12.203269
1998,NEU,1.32333
1998,MEA,2.272453
1998,REF,1.343141
1998,CAZ,1.497912
1998,CHA,3.336844
1998,IND,0.383579
1998,JPN,0.670475
1998,USA,3.133052
1999,LAM,6.533135
1999,OAS,3.230831
1999,SSA,0.700891
1999,EUR,12.203269
1999,NEU,1.32333
1999,MEA,2.272453
1999,REF,1.343141
1999,CAZ,1.497912
1999,CHA,3.336844
1999,IND,0.383579
1999,JPN,0.670475
1999,USA,3.133052
2000,LAM,6.533135
2000,OAS,3.230831
2000,SSA,0.700891
2000,EUR,12.203269
2000,NEU,1.32333
2000,MEA,2.272453
2000,REF,1.343141
2000,CAZ,1.497912
2000,CHA,3.336844
2000,IND,0.383579
2000,JPN,0.670475
2000,USA,3.133052
2001,LAM,6.533135
2001,OAS,3.230831
2001,SSA,0.700891
2001,EUR,12.203269
2001,NEU,1.32333
2001,MEA,2.272453
2001,REF,1.343141
2001,CAZ,1.497912
2001,CHA,3.336844
2001,IND,0.383579
2001,JPN,0.670475
2001,USA,3.133052
2002,LAM,6.533135
2002,OAS,3.230831
2002,SSA,0.700891
2002,EUR,12.203269
2002,NEU,1.32333
2002,MEA,2.272453
2002,REF,1.343141
2002,CAZ,1.497912
2002,CHA,3.336844
2002,IND,0.383579
2002,JPN,0.670475
