Time,Region,value
1990,LAM,1.383008
1990,OAS,1.176068
1990,SSA,0.421864
1990,EUR,2.876458
1990,NEU,0.378517
1990,MEA,0.932263
1990,REF,0.459588
1990,CAZ,0.373696
1990,CHA,0.907292
1990,IND,0.116936
1990,JPN,0.152753
1990,USA,0.60716
1991,LAM,1.383008
1991,OAS,1.176068
1991,SSA,0.421864
1991,EUR,2.876458
1991,NEU,0.378517
1991,MEA,0.932263
1991,REF,0.459588
1991,CAZ,0.373696
1991,CHA,0.907292
1991,IND,0.116936
1991,JPN,0.152753
1991,USA,0.60716
1992,LAM,1.383008
1992,OAS,1.176068
1992,SSA,0.421864
1992,EUR,2.876458
1992,NEU,0.378517
1992,MEA,0.932263
1992,REF,0.459588
1992,CAZ,0.373696
1992,CHA,0.907292
1992,IND,0.116936
1992,JPN,0.152753
1992,USA,0.60716
1993,LAM,1.383008
1993,OAS,1.176068
1993,SSA,0.421864
1993,EUR,2.876458
1993,NEU,0.378517
1993,MEA,0.932263000000001
1993,REF,0.459588
1993,CAZ,0.373696
1993,CHA,0.907292
1993,IND,0.116936
1993,JPN,0.152753
1993,USA,0.60716
1994,LAM,1.383008
1994,OAS,1.176068
1994,SSA,0.421864
1994,EUR,2.876458
1994,NEU,0.378517
1994,MEA,0.932263
1994,REF,0.459588
1994,CAZ,0.373696
1994,CHA,0.907292
1994,IND,0.116936
1994,JPN,0.152753
1994,USA,0.60716
1995,LAM,1.383008
1995,OAS,1.176068
1995,SSA,0.421864
1995,EUR,2.876458
1995,NEU,0.378517
1995,MEA,0.932263
1995,REF,0.459588
1995,CAZ,0.373696
1995,CHA,0.907292
1995,IND,0.116936
1995,JPN,0.152753
1995,USA,0.60716
1996,LAM,1.383008
1996,OAS,1.176068
1996,SSA,0.421864
1996,EUR,2.876458
1996,NEU,0.378517
1996,MEA,0.932263
1996,REF,0.459588
1996,CAZ,0.373696
1996,CHA,0.907292
1996,IND,0.116936
1996,JPN,0.152753
1996,USA,0.60716
1997,LAM,1.383008
1997,OAS,1.176068
1997,SSA,0.421864
1997,EUR,2.876458
1997,NEU,0.378517
1997,MEA,0.932263
1997,REF,0.459588
1997,CAZ,0.373696
1997,CHA,0.907292
1997,IND,0.116936
1997,JPN,0.152753
1997,USA,0.60716
1998,LAM,1.383008
1998,OAS,1.176068
1998,SSA,0.421864
1998,EUR,2.876458
1998,NEU,0.378517
1998,MEA,0.932263
1998,REF,0.459588
1998,CAZ,0.373696
1998,CHA,0.907292
1998,IND,0.116936
1998,JPN,0.152753
1998,USA,0.60716
1999,LAM,1.383008
1999,OAS,1.176068
1999,SSA,0.421864
1999,EUR,2.876458
1999,NEU,0.378517
1999,MEA,0.932263
1999,REF,0.459588
1999,CAZ,0.373696
1999,CHA,0.907292
1999,IND,0.116936
1999,JPN,0.152753
1999,USA,0.60716
2000,LAM,1.383008
2000,OAS,1.176068
2000,SSA,0.421864
2000,EUR,2.876458
2000,NEU,0.378517
2000,MEA,0.932263
2000,REF,0.459588
2000,CAZ,0.373696
2000,CHA,0.907292
2000,IND,0.116936
2000,JPN,0.152753
2000,USA,0.60716
2001,LAM,1.383008
2001,OAS,1.176068
2001,SSA,0.421864
2001,EUR,2.876458
2001,NEU,0.378517
2001,MEA,0.932263
2001,REF,0.459588
2001,CAZ,0.373696
2001,CHA,0.907292
2001,IND,0.116936
2001,JPN,0.152753
2001,USA,0.60716
2002,LAM,1.383008
2002,OAS,1.176068
2002,SSA,0.421864
2002,EUR,2.876458
2002,NEU,0.378517
2002,MEA,0.932263
2002,REF,0.459588
2002,CAZ,0.373696
2002,CHA,0.907292
2002,IND,0.116936
2002,JPN,0.152753
2002,USA,0.60716
2003,LAM,1.383008
2003,OAS,1.176068
2003,SSA,0.421864
2003,EUR,2.876458
2003,NEU,0.378517
2003,MEA,0.932263
2003,REF,0.459588
2003,CAZ,0.373696
2003,CHA,0.907292
2003,IND,0.116936
2003,JPN,0.152753
2003,USA,0.60716
2004,LAM,1.383008
2004,OAS,1.176068
2004,SSA,0.421864
2004,EUR,2.876458
2004,NEU,0.378517
2004,MEA,0.932263000000001
2004,REF,0.459588
2004,CAZ,0.373696
2004,CHA,0.907292
2004,IND,0.116936
2004,JPN,0.152753
2004,USA,0.60716
2005,LAM,1.383008
2005,OAS,1.176068
2005,SSA,0.421864
2005,EUR,2.876458
2005,NEU,0.378517
2005,MEA,0.932263
2005,REF,0.459588
2005,CAZ,0.373696
2005,CHA,0.907292
2005,IND,0.116936
2005,JPN,0.152753
2005,USA,0.60716
2006,LAM,1.319042
2006,OAS,1.228615
2006,SSA,0.34747
2006,EUR,3.199283
2006,NEU,0.408481
2006,MEA,0.659521
2006,REF,0.580892
2006,CAZ,0.374037
2006,CHA,0.887526
2006,IND,0.118982
2006,JPN,0.155984
2006,USA,0.721218
2007,LAM,2.076576
2007,OAS,1.330483
2007,SSA,0.434559
2007,EUR,3.393536
2007,NEU,0.481051
2007,MEA,1.09286
2007,REF,0.642405
2007,CAZ,0.364901
2007,CHA,0.767591
2007,IND,0.148002
2007,JPN,0.165024
2007,USA,0.693528
2008,LAM,2.041584
2008,OAS,1.538392
2008,SSA,0.391747
2008,EUR,3.358869
2008,NEU,0.506145
2008,MEA,1.263826
2008,REF,0.684501
2008,CAZ,0.342769
2008,CHA,0.682054
2008,IND,0.250678
2008,JPN,0.166837
2008,USA,0.542268
2009,LAM,1.689354
2009,OAS,1.363957
2009,SSA,0.608099
2009,EUR,2.554292
2009,NEU,0.436496
2009,MEA,0.815839
2009,REF,0.514988
2009,CAZ,0.313234
2009,CHA,0.59155
2009,IND,0.177535
2009,JPN,0.134317
2009,USA,0.580472
2010,LAM,4.340355
2010,OAS,1.718753
2010,SSA,0.778176
2010,EUR,2.849348
2010,NEU,0.522299
2010,MEA,1.097712
2010,REF,0.713060000000001
2010,CAZ,0.355134
2010,CHA,0.859147
2010,IND,0.254338
2010,JPN,0.159492
2010,USA,0.697507
2011,LAM,1.633453
2011,OAS,1.89727
2011,SSA,0.540576
2011,EUR,2.981336
2011,NEU,0.587227
2011,MEA,0.902925000000001
2011,REF,0.890061
2011,CAZ,0.375903
2011,CHA,0.773593
2011,IND,0.259994
2011,JPN,0.187174
2011,USA,0.763735
2012,LAM,1.596286
2012,OAS,1.681527
2012,SSA,0.723721999999999
2012,EUR,2.828232
2012,NEU,0.517653
2012,MEA,1.135617
2012,REF,0.884251
2012,CAZ,0.396772
2012,CHA,0.674175
2012,IND,0.227874
2012,JPN,0.184488
2012,USA,0.813897
2013,LAM,2.811657
2013,OAS,2.180877
2013,SSA,0.599393
2013,EUR,2.99652
2013,NEU,0.53247
2013,MEA,1.497144
2013,REF,0.844636
2013,CAZ,0.399339
2013,CHA,0.661646
2013,IND,0.280879
2013,JPN,0.189532
2013,USA,0.86998
2014,LAM,1.270511
2014,OAS,2.127603
2014,SSA,0.747878
2014,EUR,3.17854
2014,NEU,0.58431
2014,MEA,1.646631
2014,REF,0.788106
2014,CAZ,0.506164
2014,CHA,0.513082
2014,IND,0.312017
2014,JPN,0.205711
2014,USA,0.939359
2015,LAM,1.123341
2015,OAS,2.639764
2015,SSA,0.709884
2015,EUR,3.098013
2015,NEU,0.538432
2015,MEA,1.502835
2015,REF,0.599476
2015,CAZ,0.20114
2015,CHA,0.562738
2015,IND,0.308905
2015,JPN,0.199328
2015,USA,0.981936
2016,LAM,1.182549
2016,OAS,2.639483
2016,SSA,0.660954
2016,EUR,3.205251
2016,NEU,0.569394
2016,MEA,1.527087
2016,REF,0.709184
2016,CAZ,0.208646
2016,CHA,0.580963
2016,IND,0.330556
2016,JPN,0.197538
2016,USA,0.995164
2017,LAM,1.318484
2017,OAS,3.089741
2017,SSA,0.681946
2017,EUR,3.330099
2017,NEU,0.611766
2017,MEA,1.455322
2017,REF,0.8926
2017,CAZ,0.207907
2017,CHA,0.51205
2017,IND,0.35105
2017,JPN,0.20011
2017,USA,1.094847
2018,LAM,1.344922
2018,OAS,2.877807
2018,SSA,0.815003
2018,EUR,3.289208
2018,NEU,0.63554
2018,MEA,1.171012
2018,REF,0.909235
2018,CAZ,0.402545
2018,CHA,0.519051
2018,IND,0.361548
2018,JPN,0.20901
2018,USA,1.186042
2019,LAM,1.419015
2019,OAS,3.116018
2019,SSA,0.784552000000001
2019,EUR,3.351484
2019,NEU,0.601415
2019,MEA,1.316784
2019,REF,0.90341
2019,CAZ,0.375782
2019,CHA,0.453538
2019,IND,0.381535
2019,JPN,0.209945
2019,USA,1.030753
