Material,Time,value
Other,1950,0.2
Other,1951,0.2
Other,1952,0.2
Other,1953,0.2
Other,1954,0.2
Other,1955,0.2
Other,1956,0.2
Other,1957,0.2
Other,1958,0.2
Other,1959,0.2
Other,1960,0.2
Other,1961,0.2
Other,1962,0.2
Other,1963,0.2
Other,1964,0.2
Other,1965,0.2
Other,1966,0.2
Other,1967,0.2
Other,1968,0.2
Other,1969,0.2
Other,1970,0.2
Other,1971,0.2
Other,1972,0.2
Other,1973,0.2
Other,1974,0.2
Other,1975,0.2
Other,1976,0.2
Other,1977,0.2
Other,1978,0.2
Other,1979,0.2
Other,1980,0.2
Other,1981,0.2
Other,1982,0.2
Other,1983,0.2
Other,1984,0.2
Other,1985,0.2
Other,1986,0.2
Other,1987,0.2
Other,1988,0.2
Other,1989,0.2
Other,1990,0.2
Other,1991,0.2
Other,1992,0.2
Other,1993,0.2
Other,1994,0.2
Other,1995,0.2
Other,1996,0.2
Other,1997,0.2
Other,1998,0.2
Other,1999,0.2
Other,2000,0.2
Other,2001,0.2
Other,2002,0.2
Other,2003,0.2
Other,2004,0.2
Other,2005,0.2
Other,2006,0.2
Other,2007,0.2
Other,2008,0.2
Other,2009,0.2
Other,2010,0.2
Other,2011,0.2
Other,2012,0.2
Other,2013,0.2
Other,2014,0.2
Other,2015,0.2
Other,2016,0.2
Other,2017,0.2
Other,2018,0.2
Other,2019,0.2
Other,2020,0.2
Other,2021,0.21333333333333335
Other,2022,0.22666666666666668
Other,2023,0.24
Other,2024,0.25333333333333335
Other,2025,0.26666666666666666
Other,2026,0.28
Other,2027,0.29333333333333333
Other,2028,0.30666666666666664
Other,2029,0.32
Other,2030,0.33333333333333337
Other,2031,0.3466666666666667
Other,2032,0.36
Other,2033,0.3733333333333333
Other,2034,0.38666666666666666
Other,2035,0.4
Other,2036,0.41333333333333333
Other,2037,0.42666666666666664
Other,2038,0.44
Other,2039,0.4533333333333333
Other,2040,0.4666666666666667
Other,2041,0.48
Other,2042,0.49333333333333335
Other,2043,0.5066666666666666
Other,2044,0.52
Other,2045,0.5333333333333333
Other,2046,0.5466666666666666
Other,2047,0.56
Other,2048,0.5733333333333333
Other,2049,0.5866666666666667
Other,2050,0.6
Other,2051,0.6
Other,2052,0.6
Other,2053,0.6
Other,2054,0.6
Other,2055,0.6
Other,2056,0.6
Other,2057,0.6
Other,2058,0.6
Other,2059,0.6
Other,2060,0.6
Other,2061,0.6
Other,2062,0.6
Other,2063,0.6
Other,2064,0.6
Other,2065,0.6
Other,2066,0.6
Other,2067,0.6
Other,2068,0.6
Other,2069,0.6
Other,2070,0.6
Other,2071,0.6
Other,2072,0.6
Other,2073,0.6
Other,2074,0.6
Other,2075,0.6
Other,2076,0.6
Other,2077,0.6
Other,2078,0.6
Other,2079,0.6
Other,2080,0.6
Other,2081,0.6
Other,2082,0.6
Other,2083,0.6
Other,2084,0.6
Other,2085,0.6
Other,2086,0.6
Other,2087,0.6
Other,2088,0.6
Other,2089,0.6
Other,2090,0.6
Other,2091,0.6
Other,2092,0.6
Other,2093,0.6
Other,2094,0.6
Other,2095,0.6
Other,2096,0.6
Other,2097,0.6
Other,2098,0.6
Other,2099,0.6
Other,2100,0.6
PE,1950,0.2
PE,1951,0.2
PE,1952,0.2
PE,1953,0.2
PE,1954,0.2
PE,1955,0.2
PE,1956,0.2
PE,1957,0.2
PE,1958,0.2
PE,1959,0.2
PE,1960,0.2
PE,1961,0.2
PE,1962,0.2
PE,1963,0.2
PE,1964,0.2
PE,1965,0.2
PE,1966,0.2
PE,1967,0.2
PE,1968,0.2
PE,1969,0.2
PE,1970,0.2
PE,1971,0.2
PE,1972,0.2
PE,1973,0.2
PE,1974,0.2
PE,1975,0.2
PE,1976,0.2
PE,1977,0.2
PE,1978,0.2
PE,1979,0.2
PE,1980,0.2
PE,1981,0.2
PE,1982,0.2
PE,1983,0.2
PE,1984,0.2
PE,1985,0.2
PE,1986,0.2
PE,1987,0.2
PE,1988,0.2
PE,1989,0.2
PE,1990,0.2
PE,1991,0.2
PE,1992,0.2
PE,1993,0.2
PE,1994,0.2
PE,1995,0.2
PE,1996,0.2
PE,1997,0.2
PE,1998,0.2
PE,1999,0.2
PE,2000,0.2
PE,2001,0.2
PE,2002,0.2
