Time,Region,value
1990,LAM,3.83033
1990,OAS,18.321911
1990,SSA,0.394454
1990,EUR,48.077457
1990,NEU,0.451752
1990,MEA,7.571497
1990,REF,1.457361
1990,CAZ,4.482731
1990,CHA,1.977814
1990,IND,1.194514
1990,JPN,4.619479
1990,USA,14.797961
1991,LAM,3.83033
1991,OAS,18.321911
1991,SSA,0.394454
1991,EUR,48.077457
1991,NEU,0.451752
1991,MEA,7.571497
1991,REF,1.457361
1991,CAZ,4.482731
1991,CHA,1.977814
1991,IND,1.194514
1991,JPN,4.619479
1991,USA,14.797961
1992,LAM,3.83033
1992,OAS,18.321911
1992,SSA,0.394454
1992,EUR,48.077457
1992,NEU,0.451752
1992,MEA,7.571497
1992,REF,1.457361
1992,CAZ,4.482731
1992,CHA,1.977814
1992,IND,1.194514
1992,JPN,4.619479
1992,USA,14.797961
1993,LAM,3.83033
1993,OAS,18.321911
1993,SSA,0.394454
1993,EUR,48.077457
1993,NEU,0.451752
1993,MEA,7.571497
1993,REF,1.457361
1993,CAZ,4.482731
1993,CHA,1.977814
1993,IND,1.194514
1993,JPN,4.619479
1993,USA,14.797961
1994,LAM,3.83033
1994,OAS,18.321911
1994,SSA,0.394454
1994,EUR,48.077457
1994,NEU,0.451752
1994,MEA,7.571497
1994,REF,1.457361
1994,CAZ,4.482731
1994,CHA,1.977814
1994,IND,1.194514
1994,JPN,4.619479
1994,USA,14.797961
1995,LAM,3.83033
1995,OAS,18.321911
1995,SSA,0.394454
1995,EUR,48.077457
1995,NEU,0.451752
1995,MEA,7.571497
1995,REF,1.457361
1995,CAZ,4.482731
1995,CHA,1.977814
1995,IND,1.194514
1995,JPN,4.619479
1995,USA,14.797961
1996,LAM,3.83033
1996,OAS,18.321911
1996,SSA,0.394454
1996,EUR,48.077457
1996,NEU,0.451752
1996,MEA,7.571497
1996,REF,1.457361
1996,CAZ,4.482731
1996,CHA,1.977814
1996,IND,1.194514
1996,JPN,4.619479
1996,USA,14.797961
1997,LAM,3.83033
1997,OAS,18.321911
1997,SSA,0.394454
1997,EUR,48.077457
1997,NEU,0.451752
1997,MEA,7.571497
1997,REF,1.457361
1997,CAZ,4.482731
1997,CHA,1.977814
1997,IND,1.194514
1997,JPN,4.619479
1997,USA,14.797961
1998,LAM,3.83033
1998,OAS,18.321911
1998,SSA,0.394454
1998,EUR,48.077457
1998,NEU,0.451752
1998,MEA,7.571497
1998,REF,1.457361
1998,CAZ,4.482731
1998,CHA,1.977814
1998,IND,1.194514
1998,JPN,4.619479
1998,USA,14.797961
1999,LAM,3.83033
1999,OAS,18.321911
1999,SSA,0.394454
1999,EUR,48.077457
1999,NEU,0.451752
1999,MEA,7.571497
1999,REF,1.457361
1999,CAZ,4.482731
1999,CHA,1.977814
1999,IND,1.194514
1999,JPN,4.619479
1999,USA,14.797961
2000,LAM,3.83033
2000,OAS,18.321911
2000,SSA,0.394454
2000,EUR,48.077457
2000,NEU,0.451752
2000,MEA,7.571497
2000,REF,1.457361
2000,CAZ,4.482731
2000,CHA,1.977814
2000,IND,1.194514
2000,JPN,4.619479
2000,USA,14.797961
2001,LAM,3.83033
2001,OAS,18.321911
2001,SSA,0.394454
2001,EUR,48.077457
2001,NEU,0.451752
2001,MEA,7.571497
2001,REF,1.457361
2001,CAZ,4.482731
2001,CHA,1.977814
2001,IND,1.194514
2001,JPN,4.619479
2001,USA,14.797961
2002,LAM,3.83033
2002,OAS,18.321911
2002,SSA,0.394454
2002,EUR,48.077457
2002,NEU,0.451752
2002,MEA,7.571497
2002,REF,1.457361
2002,CAZ,4.482731
2002,CHA,1.977814
2002,IND,1.194514
2002,JPN,4.619479
2002,USA,14.797961
2003,LAM,3.83033
2003,OAS,18.321911
2003,SSA,0.394454
2003,EUR,48.077457
2003,NEU,0.451752
2003,MEA,7.571497
2003,REF,1.457361
2003,CAZ,4.482731
2003,CHA,1.977814
2003,IND,1.194514
2003,JPN,4.619479
2003,USA,14.797961
2004,LAM,3.83033
2004,OAS,18.321911
2004,SSA,0.394454
2004,EUR,48.077457
2004,NEU,0.451752
2004,MEA,7.571497
2004,REF,1.457361
2004,CAZ,4.482731
2004,CHA,1.977814
2004,IND,1.194514
2004,JPN,4.619479
2004,USA,14.797961
2005,LAM,3.83033
2005,OAS,18.321911
2005,SSA,0.394454
2005,EUR,48.077457
