Time,Region,Good,value
2015,World,Building and Construction,71628000.0
2015,World,Other Uses,98679000.0
2015,World,Packaging,169926000.0
2015,World,Transportation,25908000.0
2014,World,Building and Construction,68996000.0
2014,World,Other Uses,95053000.0
2014,World,Packaging,163682000.0
2014,World,Transportation,24956000.0
2013,World,Building and Construction,66176000.0
2013,World,Other Uses,91168000.0
2013,World,Packaging,156992000.0
2013,World,Transportation,23936000.0
2012,World,Building and Construction,63544000.0
2012,World,Other Uses,87542000.0
2012,World,Packaging,150748000.0
2012,World,Transportation,22984000.0
2011,World,Building and Construction,61100000.0
2011,World,Other Uses,84175000.0
2011,World,Packaging,144950000.0
2011,World,Transportation,22100000.0
2010,World,Building and Construction,58844000.0
2010,World,Other Uses,81067000.0
2010,World,Packaging,139598000.0
2010,World,Transportation,21284000.0
2009,World,Building and Construction,54144000.0
2009,World,Other Uses,74592000.0
2009,World,Packaging,128448000.0
2009,World,Transportation,19584000.0
2008,World,Building and Construction,52828000.0
2008,World,Other Uses,72779000.0
2008,World,Packaging,125326000.0
2008,World,Transportation,19108000.0
2007,World,Building and Construction,55460000.0
2007,World,Other Uses,76405000.0
2007,World,Packaging,131570000.0
2007,World,Transportation,20060000.0
2006,World,Building and Construction,52640000.0
2006,World,Other Uses,72520000.0
2006,World,Packaging,124880000.0
2006,World,Transportation,19040000.0
2005,World,Building and Construction,49444000.0
2005,World,Other Uses,68117000.0
2005,World,Packaging,117298000.0
2005,World,Transportation,17884000.0
2004,World,Building and Construction,48128000.0
2004,World,Other Uses,66304000.0
2004,World,Packaging,114176000.0
2004,World,Transportation,17408000.0
2003,World,Building and Construction,45308000.0
2003,World,Other Uses,62419000.0
2003,World,Packaging,107486000.0
2003,World,Transportation,16388000.000000002
2002,World,Building and Construction,43428000.0
2002,World,Other Uses,59829000.0
2002,World,Packaging,103026000.0
2002,World,Transportation,15708000.000000002
2001,World,Building and Construction,40984000.0
2001,World,Other Uses,56462000.0
2001,World,Packaging,97228000.0
2001,World,Transportation,14824000.000000002
2000,World,Building and Construction,40044000.0
2000,World,Other Uses,55167000.0
2000,World,Packaging,94998000.0
2000,World,Transportation,14484000.000000002
1999,World,Building and Construction,37976000.0
1999,World,Other Uses,52318000.0
1999,World,Packaging,90092000.0
1999,World,Transportation,13736000.000000002
1998,World,Building and Construction,35344000.0
1998,World,Other Uses,48692000.0
1998,World,Packaging,83848000.0
1998,World,Transportation,12784000.0
1997,World,Building and Construction,33840000.0
1997,World,Other Uses,46620000.0
1997,World,Packaging,80280000.0
1997,World,Transportation,12240000.0
1996,World,Building and Construction,31584000.0
1996,World,Other Uses,43512000.0
1996,World,Packaging,74928000.0
1996,World,Transportation,11424000.0
1995,World,Building and Construction,29328000.0
