Time,Region,value
1990,LAM,0.41433
1990,OAS,0.674429
1990,SSA,0.019906
1990,EUR,2.319662
1990,NEU,0.073804
1990,MEA,0.088564
1990,REF,0.026301
1990,CAZ,0.326947
1990,CHA,0.0448
1990,IND,0.014329
1990,JPN,1.08844
1990,USA,1.180389
1991,LAM,0.41433
1991,OAS,0.674429
1991,SSA,0.019906
1991,EUR,2.319662
1991,NEU,0.073804
1991,MEA,0.088564
1991,REF,0.026301
1991,CAZ,0.326947
1991,CHA,0.0448
1991,IND,0.014329
1991,JPN,1.08844
1991,USA,1.180389
1992,LAM,0.41433
1992,OAS,0.674429
1992,SSA,0.019906
1992,EUR,2.319662
1992,NEU,0.073804
1992,MEA,0.088564
1992,REF,0.026301
1992,CAZ,0.326947
1992,CHA,0.0448
1992,IND,0.014329
1992,JPN,1.08844
1992,USA,1.180389
1993,LAM,0.41433
1993,OAS,0.674429
1993,SSA,0.019906
1993,EUR,2.319662
1993,NEU,0.073804
1993,MEA,0.088564
1993,REF,0.026301
1993,CAZ,0.326947
1993,CHA,0.0448
1993,IND,0.014329
1993,JPN,1.08844
1993,USA,1.180389
1994,LAM,0.41433
1994,OAS,0.674429
1994,SSA,0.019906
1994,EUR,2.319662
1994,NEU,0.073804
1994,MEA,0.088564
1994,REF,0.026301
1994,CAZ,0.326947
1994,CHA,0.0448
1994,IND,0.014329
1994,JPN,1.08844
1994,USA,1.180389
1995,LAM,0.41433
1995,OAS,0.674429
1995,SSA,0.019906
1995,EUR,2.319662
1995,NEU,0.073804
1995,MEA,0.088564
1995,REF,0.026301
1995,CAZ,0.326947
1995,CHA,0.0448
1995,IND,0.014329
1995,JPN,1.08844
1995,USA,1.180389
1996,LAM,0.41433
1996,OAS,0.674429
1996,SSA,0.019906
1996,EUR,2.319662
1996,NEU,0.073804
1996,MEA,0.088564
1996,REF,0.026301
1996,CAZ,0.326947
1996,CHA,0.0448
1996,IND,0.014329
1996,JPN,1.08844
1996,USA,1.180389
1997,LAM,0.41433
1997,OAS,0.674429
1997,SSA,0.019906
1997,EUR,2.319662
1997,NEU,0.073804
1997,MEA,0.088564
1997,REF,0.026301
1997,CAZ,0.326947
1997,CHA,0.0448
1997,IND,0.014329
1997,JPN,1.08844
1997,USA,1.180389
1998,LAM,0.41433
1998,OAS,0.674429
1998,SSA,0.019906
1998,EUR,2.319662
1998,NEU,0.073804
1998,MEA,0.088564
1998,REF,0.026301
1998,CAZ,0.326947
1998,CHA,0.0448
1998,IND,0.014329
1998,JPN,1.08844
1998,USA,1.180389
1999,LAM,0.41433
1999,OAS,0.674429
1999,SSA,0.019906
1999,EUR,2.319662
1999,NEU,0.073804
1999,MEA,0.088564
1999,REF,0.026301
1999,CAZ,0.326947
1999,CHA,0.0448
1999,IND,0.014329
1999,JPN,1.08844
1999,USA,1.180389
2000,LAM,0.41433
2000,OAS,0.674429
2000,SSA,0.019906
2000,EUR,2.319662
2000,NEU,0.073804
2000,MEA,0.088564
2000,REF,0.026301
2000,CAZ,0.326947
2000,CHA,0.0448
2000,IND,0.014329
2000,JPN,1.08844
2000,USA,1.180389
2001,LAM,0.41433
2001,OAS,0.674429
2001,SSA,0.019906
2001,EUR,2.319662
2001,NEU,0.073804
2001,MEA,0.088564
2001,REF,0.026301
2001,CAZ,0.326947
2001,CHA,0.0448
2001,IND,0.014329
2001,JPN,1.08844
2001,USA,1.180389
2002,LAM,0.41433
2002,OAS,0.674429
2002,SSA,0.019906
2002,EUR,2.319662
2002,NEU,0.073804
2002,MEA,0.088564
2002,REF,0.026301
2002,CAZ,0.326947
2002,CHA,0.0448
2002,IND,0.014329
2002,JPN,1.08844
2002,USA,1.180389
2003,LAM,0.41433
2003,OAS,0.674429
2003,SSA,0.019906
2003,EUR,2.319662
2003,NEU,0.073804
2003,MEA,0.088564
2003,REF,0.026301
2003,CAZ,0.326947
2003,CHA,0.0448
2003,IND,0.014329
2003,JPN,1.08844
2003,USA,1.180389
2004,LAM,0.41433
