Time,Region,value
1990,LAM,0.088003
1990,OAS,0.210869
1990,SSA,0.020267
1990,EUR,1.239411
1990,NEU,0.052575
1990,MEA,0.058298
1990,REF,0.007781
1990,CAZ,0.236369
1990,CHA,5.054818
1990,IND,0.114539
1990,JPN,0.010728
1990,USA,0.598253
1991,LAM,0.088003
1991,OAS,0.210869
1991,SSA,0.020267
1991,EUR,1.239411
1991,NEU,0.052575
1991,MEA,0.058298
1991,REF,0.007781
1991,CAZ,0.236369
1991,CHA,5.054818
1991,IND,0.114539
1991,JPN,0.010728
1991,USA,0.598253
1992,LAM,0.088003
1992,OAS,0.210869
1992,SSA,0.020267
1992,EUR,1.239411
1992,NEU,0.052575
1992,MEA,0.058298
1992,REF,0.007781
1992,CAZ,0.236369
1992,CHA,5.054818
1992,IND,0.114539
1992,JPN,0.010728
1992,USA,0.598253
1993,LAM,0.088003
1993,OAS,0.210869
1993,SSA,0.020267
1993,EUR,1.239411
1993,NEU,0.052575
1993,MEA,0.058298
1993,REF,0.007781
1993,CAZ,0.236369
1993,CHA,5.054818
1993,IND,0.114539
1993,JPN,0.010728
1993,USA,0.598253
1994,LAM,0.088003
1994,OAS,0.210869
1994,SSA,0.020267
1994,EUR,1.239411
1994,NEU,0.052575
1994,MEA,0.058298
1994,REF,0.007781
1994,CAZ,0.236369
1994,CHA,5.054818
1994,IND,0.114539
1994,JPN,0.010728
1994,USA,0.598253
1995,LAM,0.088003
1995,OAS,0.210869
1995,SSA,0.020267
1995,EUR,1.239411
1995,NEU,0.052575
1995,MEA,0.058298
1995,REF,0.007781
1995,CAZ,0.236369
1995,CHA,5.054818
1995,IND,0.114539
1995,JPN,0.010728
1995,USA,0.598253
1996,LAM,0.088003
1996,OAS,0.210869
1996,SSA,0.020267
1996,EUR,1.239411
1996,NEU,0.052575
1996,MEA,0.058298
1996,REF,0.007781
1996,CAZ,0.236369
1996,CHA,5.054818
1996,IND,0.114539
1996,JPN,0.010728
1996,USA,0.598253
1997,LAM,0.088003
1997,OAS,0.210869
1997,SSA,0.020267
1997,EUR,1.239411
1997,NEU,0.052575
1997,MEA,0.058298
1997,REF,0.007781
1997,CAZ,0.236369
1997,CHA,5.054818
1997,IND,0.114539
