Time,Region,Good,value
1990,LAM,Plastic Waste,0.0114409800113392
1990,OAS,Plastic Waste,0.0274143837597705
1990,SSA,Plastic Waste,0.00263484587900198
1990,EUR,Plastic Waste,0.161131739563809
1990,NEU,Plastic Waste,0.00683510248623522
1990,MEA,Plastic Waste,0.00757913085577823
1990,REF,Plastic Waste,0.00101158216729237
1990,CAZ,Plastic Waste,0.0307295547231371
1990,CHA,Plastic Waste,0.657160229753048
1990,IND,Plastic Waste,0.0148908379205116
1990,JPN,Plastic Waste,0.00139471192529399
1990,USA,Plastic Waste,0.0777769009547822
1991,LAM,Plastic Waste,0.0114409800113392
1991,OAS,Plastic Waste,0.0274143837597705
1991,SSA,Plastic Waste,0.00263484587900198
1991,EUR,Plastic Waste,0.161131739563809
1991,NEU,Plastic Waste,0.00683510248623522
1991,MEA,Plastic Waste,0.00757913085577823
1991,REF,Plastic Waste,0.00101158216729237
1991,CAZ,Plastic Waste,0.0307295547231371
1991,CHA,Plastic Waste,0.657160229753048
1991,IND,Plastic Waste,0.0148908379205116
1991,JPN,Plastic Waste,0.00139471192529399
1991,USA,Plastic Waste,0.0777769009547822
1992,LAM,Plastic Waste,0.0114409800113392
1992,OAS,Plastic Waste,0.0274143837597705
1992,SSA,Plastic Waste,0.00263484587900198
1992,EUR,Plastic Waste,0.161131739563809
1992,NEU,Plastic Waste,0.00683510248623522
1992,MEA,Plastic Waste,0.00757913085577823
1992,REF,Plastic Waste,0.00101158216729237
1992,CAZ,Plastic Waste,0.0307295547231371
1992,CHA,Plastic Waste,0.657160229753048
1992,IND,Plastic Waste,0.0148908379205116
1992,JPN,Plastic Waste,0.00139471192529399
1992,USA,Plastic Waste,0.0777769009547822
1993,LAM,Plastic Waste,0.0114409800113392
1993,OAS,Plastic Waste,0.0274143837597705
1993,SSA,Plastic Waste,0.00263484587900198
1993,EUR,Plastic Waste,0.161131739563809
1993,NEU,Plastic Waste,0.00683510248623522
1993,MEA,Plastic Waste,0.00757913085577823
1993,REF,Plastic Waste,0.00101158216729237
1993,CAZ,Plastic Waste,0.0307295547231371
1993,CHA,Plastic Waste,0.657160229753048
1993,IND,Plastic Waste,0.0148908379205116
1993,JPN,Plastic Waste,0.00139471192529399
1993,USA,Plastic Waste,0.0777769009547822
1994,LAM,Plastic Waste,0.0114409800113392
1994,OAS,Plastic Waste,0.0274143837597705
1994,SSA,Plastic Waste,0.00263484587900198
1994,EUR,Plastic Waste,0.161131739563809
1994,NEU,Plastic Waste,0.00683510248623522
