X;CountryCode;RegionCode
1;Aruba;ABW;LAM
2;Afghanistan;AFG;OAS
3;Angola;AGO;SSA
4;Anguilla;AIA;LAM
5;Aland Islands;ALA;EUR
6;Albania;ALB;NEU
7;Andorra;AND;NEU
8;United Arab Emirates;ARE;MEA
9;Argentina;ARG;LAM
10;Armenia;ARM;REF
11;American Samoa;ASM;OAS
12;Antarctica;ATA;LAM
13;French Southern Territories;ATF;OAS
14;Antigua and Barbuda;ATG;LAM
15;Australia;AUS;CAZ
16;Austria;AUT;EUR
17;Azerbaijan;AZE;REF
18;Burundi;BDI;SSA
19;Belgium;BEL;EUR
20;Benin;BEN;SSA
21;Bonaire, Sint Eustatius and Saba;BES;LAM
22;Burkina Faso;BFA;SSA
23;Bangladesh;BGD;OAS
24;Bulgaria;BGR;EUR
25;Bahrain;BHR;MEA
26;Bahamas;BHS;LAM
27;Bosnia and Herzegovina;BIH;NEU
28;Saint Barthelemy;BLM;LAM
29;Belarus;BLR;REF
30;Belize;BLZ;LAM
31;Bermuda;BMU;LAM
32;Bolivia, Plurinational State of;BOL;LAM
33;Brazil;BRA;LAM
34;Barbados;BRB;LAM
35;Brunei Darussalam;BRN;OAS
36;Bhutan;BTN;OAS
37;Bouvet Island;BVT;LAM
38;Botswana;BWA;SSA
39;Central African Republic;CAF;SSA
40;Canada;CAN;CAZ
41;Cocos (Keeling) Islands;CCK;OAS
42;China;CHN;CHA
43;Switzerland;CHE;NEU
44;Chile;CHL;LAM
45;Cote d Ivoire;CIV;SSA
46;Cameroon;CMR;SSA
47;Congo, the Democratic Republic of the;COD;SSA
48;Congo;COG;SSA
49;Cook Islands;COK;OAS
50;Colombia;COL;LAM
51;Comoros;COM;SSA
52;Cape Verde;CPV;SSA
53;Costa Rica;CRI;LAM
54;Cuba;CUB;LAM
55;Curacao;CUW;LAM
56;Christmas Island;CXR;OAS
57;Cayman Islands;CYM;LAM
58;Cyprus;CYP;EUR
59;Czech Republic;CZE;EUR
60;Germany;DEU;EUR
61;Djibouti;DJI;SSA
62;Dominica;DMA;LAM
63;Denmark;DNK;EUR
64;Dominican Republic;DOM;LAM
65;Algeria;DZA;MEA
66;Ecuador;ECU;LAM
67;Egypt;EGY;MEA
68;Eritrea;ERI;SSA
69;Western Sahara;ESH;MEA
70;Spain;ESP;EUR
71;Estonia;EST;EUR
72;Ethiopia;ETH;SSA
73;Finland;FIN;EUR
74;Fiji;FJI;OAS
75;Falkland Islands (Malvinas);FLK;LAM
76;France;FRA;EUR
77;Faroe Islands;FRO;EUR
78;Micronesia, Federated States of;FSM;OAS
79;Gabon;GAB;SSA
80;United Kingdom;GBR;EUR
81;Georgia;GEO;REF
82;Guernsey;GGY;EUR
83;Ghana;GHA;SSA
84;Gibraltar;GIB;EUR
85;Guinea;GIN;SSA
86;Guadeloupe;GLP;LAM
87;Gambia;GMB;SSA
88;Guinea-Bissau;GNB;SSA
89;Equatorial Guinea;GNQ;SSA
90;Greece;GRC;EUR
91;Grenada;GRD;LAM
92;Greenland;GRL;NEU
93;Guatemala;GTM;LAM
94;French Guiana;GUF;LAM
95;Guam;GUM;OAS
96;Guyana;GUY;LAM
97;Hong Kong;HKG;CHA
98;Heard Island and McDonald Islands;HMD;CAZ
99;Honduras;HND;LAM
100;Croatia;HRV;EUR
101;Haiti;HTI;LAM
102;Hungary;HUN;EUR
103;Indonesia;IDN;OAS
104;Isle of Man;IMN;EUR
105;India;IND;IND
106;British Indian Ocean Territory;IOT;OAS
107;Ireland;IRL;EUR
108;Iran, Islamic Republic of;IRN;MEA
109;Iraq;IRQ;MEA
110;Iceland;ISL;NEU
111;Israel;ISR;MEA
112;Italy;ITA;EUR
113;Jamaica;JAM;LAM
114;Jersey;JEY;EUR
115;Jordan;JOR;MEA
116;Japan;JPN;JPN
117;Kazakhstan;KAZ;REF
118;Kenya;KEN;SSA
119;Kyrgyzstan;KGZ;REF
120;Cambodia;KHM;OAS
121;Kiribati;KIR;OAS
122;Saint Kitts and Nevis;KNA;LAM
123;Korea, Republic of;KOR;OAS
124;Kuwait;KWT;MEA
125;Lao People's Democratic Republic;LAO;OAS
126;Lebanon;LBN;MEA
127;Liberia;LBR;SSA
128;Libya;LBY;MEA
129;Saint Lucia;LCA;LAM
130;Liechtenstein;LIE;NEU
131;Sri Lanka;LKA;OAS
132;Lesotho;LSO;SSA
133;Lithuania;LTU;EUR
134;Luxembourg;LUX;EUR
135;Latvia;LVA;EUR
136;Macao;MAC;CHA
137;Saint Martin (French part);MAF;LAM
138;Morocco;MAR;MEA
139;Monaco;MCO;NEU
140;Moldova, Republic of;MDA;REF
141;Madagascar;MDG;SSA
142;Maldives;MDV;OAS
143;Mexico;MEX;LAM
144;Marshall Islands;MHL;OAS
145;Macedonia, the former Yugoslav Republic of;MKD;NEU
146;Mali;MLI;SSA
147;Malta;MLT;EUR
148;Myanmar;MMR;OAS
149;Montenegro;MNE;NEU
150;Mongolia;MNG;OAS
151;Northern Mariana Islands;MNP;OAS
152;Mozambique;MOZ;SSA
153;Mauritania;MRT;SSA
154;Montserrat;MSR;LAM
155;Martinique;MTQ;LAM
156;Mauritius;MUS;SSA
157;Malawi;MWI;SSA
158;Malaysia;MYS;OAS
159;Mayotte;MYT;SSA
160;Namibia;NAM;SSA
